full_organization_name,short_organization_name,url,description,organization_type,location_hq
United Nations Development Programme,UNDP,http://www.undp.org/content/undp/en/home.html,"The United Nations Development Programme (UNDP) works in nearly 170 countries and territories, helping to eradicate poverty, reduce inequalities and build resilience so countries can sustain progress. As the UN’s development agency, UNDP plays a critical role in helping countries achieve the Sustainable Development Goals.",Funds and Programmes,"New York City, USA"
United Nations Environment Programme,UNEP,http://www.unep.org/,"The United Nations Environment Programme (UNEP) established in 1972, is the voice for the environment within the United Nations system. UNEP acts as a catalyst, advocate, educator and facilitator to promote the wise use and sustainable development of the global environment.",Funds and Programmes,"Nairobi, Kenya"
United Nations Population Fund,UNFPA,http://www.unfpa.org/,"The United Nations Population Fund (UNFPA) is the lead UN agency for delivering a world where every pregnancy is wanted, every birth is safe, and every young person's potential is fulfilled.",Funds and Programmes,"New York City, USA"
United Nations Human Settlements Programme,UN-HABITAT,http://unhabitat.org/,The mission of the United Nations Human Settlements Programme (UN-HABITAT) is to promote socially and environmentally sustainable human settlements development and the achievement of adequate shelter for all.,Funds and Programmes,"Nairobi, Kenya"
United Nations Children's Fund,UNICEF,http://www.unicef.org/,"The United Nations Children's Fund (UNICEF) works in 190 countries and territories to save children’s lives, to defend their rights, and to help them fulfil their potential, from early childhood through adolescence.",Funds and Programmes,"New York City, USA"
World Food Programme,WFP,http://www.wfp.org/,"The World Food Programme aims to eradicate hunger and malnutrition. The world’s largest humanitarian agency, WFP helps almost 100 million people in approximately 88 countries with assistance every year through food or cash distributions and more. The World Food Programme was awarded the Nobel Peace Prize in 2020.",Funds and Programmes,"Rome, Italy"
Food and Agriculture Organization,FAO,http://www.fao.org/,The Food and Agriculture Organization leads international efforts to fight hunger. It is both a forum for negotiating agreements between developing and developed countries and a source of technical knowledge and information to aid development.,UN Specialized Agencies,"Rome, Italy"
International Civil Aviation Organization,ICAO,https://www.icao.int/,The International Civil Aviation Organization develops standards for global air transport and assists its 192 Member States in sharing the world’s skies to their socio-economic benefit.,UN Specialized Agencies,"Montreal, Canada"
International Fund for Agricultural Development,IFAD,http://www.ifad.org/,"The International Fund for Agricultural Development, since it was created in 1977, has focused exclusively on rural poverty reduction, working with poor rural populations in developing countries to eliminate poverty, hunger and malnutrition; raise their productivity and incomes; and improve the quality of their lives.",UN Specialized Agencies,"Rome, Italy"
International Labor Organization,ILO,http://www.ilo.org/,"The International Labor Organization promotes international labor rights by formulating international standards on the freedom to associate, collective bargaining, the abolition of forced labor, and equality of opportunity and treatment.",UN Specialized Agencies,"Geneva, Switzerland"
International Monetary Fund,IMF,http://www.imf.org/,The International Monetary Fund fosters economic growth and employment by providing temporary financial assistance to countries to help ease balance of payments adjustment and technical assistance. The IMF currently has $28 billion in outstanding loans to 74 nations.,UN Specialized Agencies,"Washington, DC, USA"
International Maritime Organization,IMO,http://www.imo.org/,"The International Maritime Organization has created a comprehensive shipping regulatory framework, addressing safety and environmental concerns, legal matters, technical cooperation, security, and efficiency.",UN Specialized Agencies,"London, United Kingdom"
International Telecommunication Union,ITU,http://www.itu.int/,"The International Telecommunication Union is the United Nations specialized agency for information and communication technologies. It is committed to connecting all the world's people – wherever they live and whatever their means. Through our work, we protect and support everyone's fundamental right to communicate",UN Specialized Agencies,"Geneva, Switzerland"
"United Nations Educational, Scientific and Cultural Organization",UNESCO,http://en.unesco.org/,"The United Nations Educational, Scientific and Cultural Organization focuses on everything from teacher training to helping improve education worldwide to protecting important historical and cultural sites around the world.",UN Specialized Agencies,"Paris, France"
United Nations Industrial Development Organization,UNIDO,http://www.unido.org/,"The United Nations Industrial Development Organization is the specialized agency of the United Nations that promotes industrial development for poverty reduction, inclusive globalization and environmental sustainability.",UN Specialized Agencies,"Vienna, Austria"
World Tourism Organization,UN Tourism,https://www.unwto.org/,"The World Tourism Organization is the United Nations agency responsible for the promotion of responsible, sustainable and universally accessible tourism.",UN Specialized Agencies,"Madrid, Spain"
Universal Postal Union,UPU,http://www.upu.int/,The Universal Postal Union is the primary forum for cooperation between postal sector players. It helps to ensure a truly universal network of up-to-date products and services.,UN Specialized Agencies,"Bern, Switzerland"
World Health Organization,WHO,http://www.who.int/,"The World Health Organization is the directing and coordinating authority on international health within the United Nations system. The objective of WHO is the attainment by all peoples of the highest possible level of health. Health, as defined in the WHO Constitution, is a state of complete physical, mental and social well-being and not merely the absence of disease or infirmity.",UN Specialized Agencies,"Geneva, Switzerland"
World Intellectual Property Organization,WIPO,http://www.wipo.int/,The World Intellectual Property Organization protects intellectual property throughout the world through 23 international treaties.,UN Specialized Agencies,"Geneva, Switzerland"
World Meteorological Organization,WMO,https://public.wmo.int/en,"The World Meteorological Organization facilitates the free international exchange of meteorological data and information and the furtherance of its use in aviation, shipping, security, and agriculture, among other things.",UN Specialized Agencies,"Geneva, Switzerland"
World Bank,World Bank,http://www.worldbank.org/,"The World Bank focuses on poverty reduction and the improvement of living standards worldwide by providing low-interest loans, interest-free credit, and grants to developing countries for education, health, infrastructure, and communications, among other things. The World Bank works in over 100 countries.",UN Specialized Agencies,"Washington, DC, USA"
Joint United Nations Programme on HIV/AIDS,UNAIDS,http://www.unaids.org/en,"The Joint United Nations Programme on HIV/AIDS (UNAIDS) leads and inspires the world to achieve its shared vision of zero new HIV infections, zero discrimination and zero AIDS-related deaths. UNAIDS unites the efforts of 11 UN organizations—UNHCR, UNICEF, WFP, UNDP, UNFPA, UNODC, UN Women, ILO, UNESCO, WHO and the World Bank—and works closely with global and national partners towards ending the AIDS epidemic by 2030 as part of the Sustainable Development Goals.",Other Entities and Bodies,"Geneva, Switzerland"
United Nations High Commissioner for Refugees,UNHCR,https://www.unhcr.org/,The United Nations High Commissioner for Refugees – UNHCR protects refugees worldwide and facilitates their return home or resettlement.,Other Entities and Bodies,"Geneva, Switzerland"
